flight altitude,elevation,elevation m_a
163.775,271.0,163.775
208.48576252483736,269.0,168.4125
252.20902504967472,264.0,172.0625
295.89478757451207,269.0,175.675
339.51805009934947,260.0,179.225
384.04131262418684,262.0,183.675
428.91457514902413,269.0,188.475
474.91283767386153,306.0,194.4
499.15,297.0,199.15
502.9875,270.0,202.9875
506.9625,313.0,206.9625
511.875,344.0,211.875
516.9875,314.0,216.9875
522.4,287.0,222.4
528.775,305.0,228.775
534.375,342.0,234.375
539.4625,355.0,239.4625
544.525,380.0,244.525
549.6125,347.0,249.6125
554.6375,295.0,254.6375
560.0125,311.0,260.0125
564.2,345.0,264.2
568.9875,339.0,268.9875
574.425,401.0,274.425
580.575,354.0,280.575
586.5375,333.0,286.5375
593.0625,373.0,293.0625
599.6375,352.0,299.6375
606.225,346.0,306.225
612.425,398.0,312.425
618.5625,379.0,318.5625
624.725,366.0,324.725
631.9125,333.0,331.9125
638.9125,325.0,338.9125
645.7375,403.0,345.7375
652.375,383.0,352.375
658.4,333.0,358.4
664.7,334.0,364.7
670.425,314.0,370.425
675.7125,361.0,375.7125
681.4375,371.0,381.4375
684.4125,292.0,384.4125
687.65,289.0,387.65
691.1125,284.0,391.1125
694.7625,356.0,394.7625
697.875,384.0,397.875
701.075,474.0,401.075
704.2125,380.0,404.2125
707.35,307.0,407.35
711.3,318.0,411.3
715.45,393.0,415.45
718.2625,409.0,418.2625
720.2125,433.0,420.2125
722.725,510.0,422.725
725.525,448.0,425.525
728.825,407.0,428.825
732.025,405.0,432.025
734.8625,407.0,434.8625
737.5375,402.0,437.5375
740.625,430.0,440.625
744.5875,335.0,444.5875
748.0125,383.0,448.0125
751.5875,435.0,451.5875
754.9375,492.0,454.9375
757.25,477.0,457.25
760.625,522.0,460.625
763.6875,526.0,463.6875
765.75,527.0,465.75
766.8,496.0,466.8
768.775,491.0,468.775
770.375,493.0,470.375
772.625,575.0,472.625
773.5875,560.0,473.5875
772.7375,546.0,472.7375
771.4875,531.0,471.4875
770.625,482.0,470.625
772.3375,504.0,472.3375
774.1,458.0,474.1
776.075,423.0,476.075
777.275,458.0,477.275
777.9875,509.0,477.9875
779.9625,528.0,479.9625
782.4,541.0,482.4
786.0625,561.0,486.0625
789.8875,509.0,489.8875
793.2125,518.0,493.2125
796.7875,520.0,496.7875
799.3375,557.0,499.3375
802.9125,613.0,502.9125
806.6875,602.0,506.6875
811.0375,538.0,511.0375
815.0,500.0,515.0
818.8375,515.0,518.8375
822.65,511.0,522.65
825.45,569.0,525.45
828.975,598.0,528.975
833.2125,582.0,533.2125
837.1375,594.0,537.1375
839.6125,594.0,539.6125
839.2,612.0,539.2
837.8875,585.0,537.8875
837.6,631.0,537.6
837.075,607.0,537.075
837.9125,586.0,537.9125
841.1375,624.0,541.1375
842.775,578.0,542.775
841.95,538.0,541.95
843.3875,436.0,543.3875
846.325,504.0,546.325
850.0875,526.0,550.0875
853.775,559.0,553.775
857.675,443.0,557.675
860.75,265.0,560.75
864.0875,225.0,564.0875
867.625,334.0,567.625
870.5125,520.0,570.5125
874.425,474.0,574.425
878.7375,492.0,578.7375
883.575,410.0,583.575
888.3875,418.0,588.3875
892.175,529.0,592.175
896.1,487.0,596.1
900.175,582.0,600.175
904.5625,590.0,604.5625
908.7,622.0,608.7
913.4625,670.0,613.4625
917.5625,678.0,617.5625
921.475,666.0,621.475
925.2625,609.0,625.2625
928.4625,666.0,628.4625
932.1,710.0,632.1
936.625,716.0,636.625
941.4875,738.0,641.4875
945.1,734.0,645.1
947.8,730.0,647.8
950.8125,746.0,650.8125
954.35,719.0,654.35
958.4125,605.0,658.4125
961.8875,369.0,661.8875
965.1125,325.0,665.1125
968.6,312.0,668.6
972.9125,341.0,672.9125
976.8,502.0,676.8
980.7,750.0,680.7
984.7375,608.0,684.7375
988.2125,456.0,688.2125
992.275,641.0,692.275
996.9125,762.0,696.9125
1003.1375,797.0,703.1375
1008.8625,786.0,708.8625
1014.3875,805.0,714.3875
1019.5875,821.0,719.5875
1026.4125,827.0,726.4125
1035.5375,829.0,735.5375
1044.9875,762.0,744.9875
1053.0125,795.0,753.0125
1058.625,849.0,758.625
1064.425,845.0,764.425
1069.4375,808.0,769.4375
1074.8625,761.0,774.8625
1080.85,823.0,780.85
1085.7375,854.0,785.7375
1090.8375,892.0,790.8375
1094.2875,892.0,794.2875
1097.8875,890.0,797.8875
1101.425,846.0,801.425
1105.0,833.0,805.0
1108.475,860.0,808.475
1112.35,869.0,812.35
1116.3625,893.0,816.3625
1119.2625,900.0,819.2625
1121.5,889.0,821.5
1124.225,804.0,824.225
1127.2375,727.0,827.2375
1130.0,810.0,830.0
1132.0375,881.0,832.0375
1133.4625,907.0,833.4625
1135.775,872.0,835.775
1140.0,852.0,840.0
1147.525,891.0,847.525
1155.825,930.0,855.825
1164.225,942.0,864.225
1172.1875,919.0,872.1875
1178.0125,909.0,878.0125
1180.625,902.0,880.625
1184.725,903.0,884.725
1190.7,909.0,890.7
1194.4625,934.0,894.4625
1196.7375,962.0,896.7375
1198.7125,968.0,898.7125
1200.8375,975.0,900.8375
1202.8375,989.0,902.8375
1204.325,995.0,904.325
1205.1625,981.0,905.1625
1206.4125,976.0,906.4125
1208.6,969.0,908.6
1210.3625,938.0,910.3625
1211.075,893.0,911.075
1211.75,844.0,911.75
1212.3625,897.0,912.3625
1213.0625,920.0,913.0625
1212.425,895.0,912.425
1211.225,858.0,911.225
1210.6375,878.0,910.6375
1210.5875,905.0,910.5875
1211.0125,956.0,911.0125
1211.975,956.0,911.975
1213.0,976.0,913.0
1213.55,930.0,913.55
1213.9625,898.0,913.9625
1213.9125,889.0,913.9125
1213.775,934.0,913.775
1213.95,979.0,913.95
1215.475,955.0,915.475
1217.9875,893.0,917.9875
1219.6375,860.0,919.6375
1220.3375,904.0,920.3375
1220.4,943.0,920.4
1220.3875,971.0,920.3875
1220.325,989.0,920.325
