1,TESTSITE,PP,5,-33.176,150.433,392,,,,
Date (MM/DD/YYYY),Time (HH:MM),T2m,RH,GHI,DNI,DHI,IR(h),WS10m,WD10m,SP
01/01/1988,00:00,23.95,69.35,379.55,199.55,204.3,377.94,1.19,124,96031
01/01/1988,01:00,24.8,66.3,711.8,491.45,241.7,382.95,1.12,85,96088
01/01/1988,02:00,25.64,63.24,935.95,735.31,212.2,387.97,1.05,25,96126
01/01/1988,03:00,26.49,60.18,912.75,695.37,245.55,392.98,0.97,312,96136
01/01/1988,04:00,27.33,57.12,678.15,482.87,251.35,397.99,0.9,291,96107
01/01/1988,05:00,28.18,54.06,547.45,483.2,178.95,403,0.83,275,96059
01/01/1988,06:00,29.02,51,397.95,377.25,170.1,408.01,0.75,260,96050
01/01/1988,07:00,29.87,47.94,228,303.29,101,413.02,0.68,172,96040
01/01/1988,08:00,21.41,95.25,48.55,0,48.55,398.35,0.41,97,96098
01/01/1988,09:00,21.05,97.05,19.75,0,19.75,392.2,0.55,92,96145
01/01/1988,10:00,20.8,99.35,0,0,0,402.8,0.62,41,96241
01/01/1988,11:00,20.54,100,0,0,0,408.2,0.76,44,96222
01/01/1988,12:00,20.31,100,0,0,0,400.7,0.48,355,96212
01/01/1988,13:00,20.14,99.55,0,0,0,402.8,0.69,343,96231
01/01/1988,14:00,19.97,99.35,0,0,0,401.45,0.62,322,96212
01/01/1988,15:00,19.9,99.25,0,0,0,411.3,0.83,287,96174
01/01/1988,16:00,19.72,99,0,0,0,406.85,1.1,273,96145
01/01/1988,17:00,19.53,97.85,0,0,0,394.15,1.17,267,96136
01/01/1988,18:00,19.4,97.1,0,0,0,394.9,1.17,254,96145
01/01/1988,19:00,17.94,94.25,0,0,0,345.75,2,255,96203
01/01/1988,20:00,18.32,91.65,46.25,83.8,28.8,353.85,1.66,239,96260
01/01/1988,21:00,19.47,86.65,177.25,165.51,109.75,354.8,1.24,186,96355
01/01/1988,22:00,20.65,76,462.85,582.3,116.85,340.9,2.28,153,96432
01/01/1988,23:00,21.75,68.35,614.3,607.37,155.95,347.85,2,141,96393
01/02/1988,00:00,22.86,61.05,720.9,524.71,260.65,373.9,1.86,135,96413
01/02/1988,01:00,22.81,61.2,690.55,456.75,253.95,378.75,2.07,131,96413
01/02/1988,02:00,23.32,59.95,876.8,718.29,170,362.1,2.07,129,96413
01/02/1988,03:00,23.3,60.8,869.45,736.05,163.15,357.7,2.55,121,96393
01/02/1988,04:00,22.78,63.85,840.6,727.24,197.5,379.3,3.31,112,96374
01/02/1988,05:00,21.37,68.45,661.4,664.5,154.2,368.85,4.14,110,96365
01/02/1988,06:00,20.24,73.75,512.65,604.7,146.95,362.7,3.66,117,96451
01/02/1988,07:00,19.98,73.25,385.9,633.64,120.05,376.95,3.31,107,96527
01/02/1988,08:00,18.97,76.5,86.15,0,86.15,358.45,3.17,114,96661
01/02/1988,09:00,17.82,80.7,23.5,0,23.5,391.25,3.1,114,96794
01/02/1988,10:00,16.97,84.6,0,0,0,391.45,2.76,115,96890
01/02/1988,11:00,16.36,85.05,0,0,0,389.7,2.97,116,96966
01/02/1988,12:00,15.85,86.95,0,0,0,384.3,2.62,118,97033
01/02/1988,13:00,15.57,86.8,0,0,0,385.05,2.69,126,97062
01/02/1988,14:00,15.46,86,0,0,0,382.95,2.41,133,97071
01/02/1988,15:00,15.26,87.55,0,0,0,366.95,1.72,134,97052
01/02/1988,16:00,15.1,88.45,0,0,0,360,1.59,139,97042
01/02/1988,17:00,14.97,88.85,0,0,0,371.55,2.48,144,97052
01/02/1988,18:00,14.76,90.55,0,0,0,356.7,2.28,144,97090
01/02/1988,19:00,14.04,96.6,0,0,0,341.1,1.38,143,97109
01/02/1988,20:00,14.44,93.65,48.1,106.08,26.25,337.8,1.72,142,97186
01/02/1988,21:00,15.42,85.05,205.35,283.68,90.25,344,2.69,143,97214
01/02/1988,22:00,16.33,80.05,301.1,183.58,192.35,367.9,2.55,137,97252
01/02/1988,23:00,17.12,76.3,362.7,189.6,219.9,381.6,2.55,131,97243
01/03/1988,00:00,18.05,72,478.35,239.61,268.45,380.65,2.76,126,97233
01/03/1988,01:00,18.6,69.8,533.95,265.4,280.45,386.65,2.83,122,97224
01/03/1988,02:00,19.47,66,584.25,244.89,343.35,383.9,2.97,119,97176
01/03/1988,03:00,19.47,65.45,482.35,210.39,280.45,389.9,3.03,118,97147
01/03/1988,04:00,19.66,64.4,458.4,206.52,275.7,389.1,3.17,122,97157
01/03/1988,05:00,19.77,63.2,396.8,164.88,270.85,386.6,3.31,126,97138
01/03/1988,06:00,19.64,64.5,352.1,122.79,277.75,388.9,3.72,127,97138
01/03/1988,07:00,19.01,64.8,256.4,166.54,186.4,381,3.1,122,97166
01/03/1988,08:00,18.23,69.45,91.4,0,91.4,375.05,3.17,120,97205
01/03/1988,09:00,17.22,76.9,30.8,0,30.8,351.5,2.83,120,97281
01/03/1988,10:00,16.14,86.25,0,0,0,352.5,2.62,119,97319
01/03/1988,11:00,15.25,92.95,0,0,0,339.55,2.21,120,97396
01/03/1988,12:00,15.08,94.2,0,0,0,368.3,2.55,117,97396
